"drug name","hard drug","aliases","related terms"
"methylphenidate",False,"['concerta','ritalin','methylin','vitamin r','r ball','diet coke','rit','skippy','kiddie cocaine','jif','diet coke','johnny','kibbles and bits','kiddie coke','mph','pineapple','poor man's cocaine','r-ball','r-pop','rids','rittys','skittles','smarties','study buddies','truck drivers']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methamphetamine",True,"['ice','crank','speed','jib','crissy','pookie','tweek','diet pill','','accordion','aqua','batu','blue','blue bell ice cream','beers','bottles','bud light','bump','cajitas','chalk','chavalones','chicken','chicken powder','christine','christy','clear','clothing cleaner','colorado rockies','cream','cri-cri','crink','crisco','crypto','crystal','cuadros','day','el gata diablo','evil sister','eye glasses','fire','fizz','flowers','food','frio','g-funk','gifts','girls','glass','go-fast','groceries','hard ones','hare','hawaiian salt','hielo','hot ice','ice','ice cream','jug of water','l.a. glass','l.a. ice','lemons','lemon drop','light','light beige','livianas','madera','meth','mexican crack','mexican crank','miss girl','montura','motor','muchacha','nails','one pot','pantalones','peanut butter crank','piñata','pointy ones','pollito','popsicle','purple','raspado','rims','salt','shabu','shards','shatter','shaved ice','shiny girl','soap dope','soft ones','spicy kind','stove top','stuff','super ice','table','tina','truck','tupperware','ventanas','vidrio','walking zombie','water','white','windows','witches teeth','yellow barn','yellow kind','zip','amp','arroz','assembled','begok','biker's coffee','bucio','chandelier','chavalone','chicken feed','chris','cold','cold one','cuadro','diamond','dunk','foco','fruit','gak','garbage','go-go','goofball','hiropon','hubbers','ice water','icehead','jale','mamph','methlies quick','no-doze','paint','patudas','rocket fuel','small girl','speed dog','spin','tires','trash','tweak','unassembled','uppers','wazz','whizz','yaba','yellow cake']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"morphine",True,"['ms contin','miss emma','morpho','dreamer','first line','god's drug','joy juice','monkey','mister blue','unkie','white stuff']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"opium",False,"['poppy','tincture','powder','poppy straw','auntie','aunt emma','big o','black','black russian','chandoo','china','chinese molasses','chinese tobacco','chocolate','cruz','dopium','dover's powder','dream gum','dream stick','dreams','easing powder','god's medicine','goma','gondola','goric','opiate','great tobacco','gum','hocus','hops','incense','joy plant','midnight oil','opio','pen yan','pin gon','pin yen','pox','skee','toxy','toys','when-shee']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"oxycodone",True,"['oxycontin','opioids','oxy','percocet','endocet','roxicodone','roxy','512s','bananas','blue','blueberries','buttons','ercs','greenies','hillbilly heroin','kickers','m-30s','percs','rims','tires','wheels','30s','40s','beans','blues','greens','oc','whites']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"steroids",False,"['anabolic','body building','juice','gym candy','roid','pumper','andro','arnie','casey','hgh','arnold']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"buprenorphine",False,"['subutex','suboxone','bupes','sobos']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"benzodiazepine",True,"['benzo','etizolam','etz','xanax','valium','ativan','diazempam','lorazepam','klonopin','clonazepam','nitrazepam','xan','xannie','chill pill','nerve pill','upjohn','moggie','roofie','sleeper','la rocha','forget me pill','vallie','ambien','zolpidem','k','k-pin','pin','super valium','bars','bicycle handle bars','footballs','hulk','ladders','planks','school bus','sticks','xanies','zanbars','zannies','z-bars','bars','benzos','bicycle parts','bricks','handlebars','l7','palitroque','upjohns','white boys','white girls','yellow boys','542','circles','date rape drug','forget pill','lunch money','mexican valium','mind eraser','pingus','r2','reynolds','roach','roapies','rochas','roofies','rope','rophies','ro-shay','trip-and-fall','wolfies']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"modafinil",False,"['nootropic','provigil','smart drug','nzt']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"tramadol",False,"['trammy','trammie']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"ketamine",False,"['lady k','jet k','blind squid','cat valium','green','honey oil','jet','k','keller','kelly's day','k-hold','k-ways','special k','super acid','vitamin k']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"heroin",True,"['whisky','a-bomb','chasing the dragon','achivia','adormidera','antifreeze','aunt hazel','avocado','azucar','bad seed','ballot','basketball','basura','beast','beyonce','big bag','big h','big harry','bird','birdie powder','black','black bitch','black goat','black olives','black paint','black pearl','black sheep','black tar','blanco','blue','blow dope','blue hero','bombita','bombs away','bonita','boy','bozo','brea negra','brick gum','brown','brown crystal','brown rhine','brown sugar','bubble gum','burrito','caballo','caballo negro','caca','café','capital h','carga','caro','cement','chapopote','charlie','charlie horse','cheese','chicle','chiclosa','china','china cat','china white','chinese food','chinese red','chip','chiva','chiva blanca','chivones','chocolate','chocolate balls','choko','chorizo','chutazo','coco','coffee','comida','crown crap','curley hair','dark','dark girl','dead on arrival','diesel','dirt','dog food','doggie','doojee','dope','dorado','down','downtown','dreck','dynamite','dyno','el diablo','engines','fairy dust','flea powder','foolish powder','galloping horse','gamot','gato','george smack','girl','golden girl','good & plenty','good h','goma','gorda','gras','grasin','gravy','gum','h','h-caps','hairy','hard candy','harry','hats','hazel','heaven dust','heavy','helen','helicopter','hell dust','henry','hercules','hero','him','hombre','horse','hot dope','hummers','jojee','joy flakes','joy powder','junk','kabayo','karachi','karate','ket','ketty','king's tickets','lemonade','lenta','lifesaver','manteca','marias','mayo','mazpan','meal','menthol','mexican brown','mexican horse','mexican mud','mexican treat','modelo negra','mojo','mole','mongega','morena','morenita','mortal combat','motors','mud','mujer','muzzle','nanoo','negra','negra tomasa','negrita','nice and easy','night','noise','peg','p-funk','piezas','plata','poison','polvo','poppy','powder','prostituta negra','puppy','pure','rambo','red chicken','red eagle','reindeer dust','roofing tar','sack','salt','sand','scag','scat','schmeck','skag','slime','smack','smeck','snickers','speedball','spider blue','sticky kind','stufa','sugar','sweet jesus','tan','tar','tecata','tires','tootsie roll','tragic magic','trees','turtle','vidrio','white','white boy','white girl','white junk','white lady','white nurse','white shirt','white stuff','wings','witch','witch hazel','zapapote','abajo','a-bomb','amarilla','anestesia de caballo','apodo','arpon','baja corte','birria','birria blanca','black shirt','butter','cajeta','cardio','certificada','chavo','china blanca','chinese buffet','chiva loca','chiva negra','chocolate shake','churro negro','cohete','dark kind','dragon','enrique grande','esquina','esquinilla','food','globo','goat','good and plenty','goofball','hard one','huera','la tierra','marrion','mexican food','murcielago','obama','old steve','pants','patty','polvo de alegria','polvo de estrellas','polvo feliz','raw','ruby','scramble','sheep','shirts','shoes','skunk','soda','thunder','tomasa','weights','whiskey']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
